country_name,entity_id,country_code,__last_seen,__first_seen
Iraq,gb-hmt-sanctions.7576,IQ,2018-04-26 12:45:13.793185,2018-04-12 08:18:27.975501
Tunisian,gb-hmt-sanctions.7879,TN,2018-04-26 12:45:14.222250,2018-04-12 08:18:30.109118
Indonesian,gb-hmt-sanctions.12021,ID,2018-04-26 12:44:30.032497,2018-04-12 08:16:47.746618
Tunisian,gb-hmt-sanctions.7877,TN,2018-04-26 12:45:42.574917,2018-04-12 08:19:12.157919
Tunisian,gb-hmt-sanctions.11615,TN,2018-04-26 12:44:16.231216,2018-04-12 08:16:38.544095
Tunisian,gb-hmt-sanctions.11584,TN,2018-04-26 12:44:18.430707,2018-04-12 08:16:38.535882
Iran,gb-hmt-sanctions.12274,IR,2018-04-26 12:44:29.473839,2018-04-12 08:16:55.163968
Burundian,gb-hmt-sanctions.13281,,2018-04-26 12:44:46.226192,2018-04-12 08:17:37.906119
DPRK,gb-hmt-sanctions.13569,KP,2018-04-26 12:44:58.164156,2018-04-12 08:18:42.457698
DPRK,gb-hmt-sanctions.13568,KP,2018-04-26 12:44:58.242226,2018-04-12 08:18:13.538498
Afghan,gb-hmt-sanctions.7159,,2018-04-26 12:45:03.311542,2018-04-12 08:18:25.170148
Syrian,gb-hmt-sanctions.13317,SY,2018-04-26 12:45:04.625215,2018-04-12 08:17:39.743792
Iraq,gb-hmt-sanctions.7608,IQ,2018-04-26 12:45:12.142592,2018-04-12 08:18:35.798520
Iraq,gb-hmt-sanctions.7620,IQ,2018-04-26 12:45:12.922310,2018-04-12 08:18:37.898415
Afghan,gb-hmt-sanctions.7443,,2018-04-26 12:45:16.373878,2018-04-12 08:18:52.818248
Iraq,gb-hmt-sanctions.7602,IQ,2018-04-26 12:45:17.728167,2018-04-12 08:18:35.059834
Iraq,gb-hmt-sanctions.7606,IQ,2018-04-26 12:45:17.864969,2018-04-12 08:18:27.579983
